time [sec], accel [m/s^2]
3.020416539999999941e+02,2.914459943771362305e+00
3.020466490000000022e+02,7.567192912101745605e-01
3.020516430000000128e+02,-3.800487279891967773e+00
3.020566399999999589e+02,-3.581630885601043701e-01
3.020616319999999746e+02,2.170985937118530273e+00
3.020666309999999726e+02,-2.262135028839111328e+00
3.020716209999999933e+02,-3.351938962936401367e+00
3.020766150000000039e+02,6.815382242202758789e-01
3.020816100000000120e+02,1.262885093688964844e+00
3.020866039999999657e+02,-1.987404942512512207e+00
3.020916540000000055e+02,-1.245453476905822754e+00
3.020965929999999844e+02,8.021945953369140625e-01
3.021015869999999950e+02,-1.110225200653076172e+00
3.021065810000000056e+02,-6.814890503883361816e-01
3.021115760000000137e+02,-3.479170501232147217e-01
3.021165699999999674e+02,-1.779084682464599609e+00
3.021215649999999755e+02,-1.806477546691894531e+00
3.021265589999999861e+02,-8.876497745513916016e-01
3.021315539999999942e+02,-7.033695578575134277e-01
3.021365480000000048e+02,-1.375083684921264648e+00
3.021415450000000078e+02,1.792520284652709961e-01
3.021465389999999616e+02,-1.127669885754585266e-01
3.021515309999999772e+02,-2.065928697586059570e+00
3.021565259999999853e+02,-1.071330428123474121e+00
3.021615199999999959e+02,1.747427701950073242e+00
3.021665140000000065e+02,-3.599242568016052246e-01
3.021715110000000095e+02,-3.636995315551757812e+00
3.021765029999999683e+02,-1.341561913490295410e+00
3.021815510000000131e+02,1.075738191604614258e+00
3.021864929999999845e+02,-1.173563122749328613e+00
3.021914869999999951e+02,-2.873008966445922852e+00
3.021964810000000057e+02,1.355280876159667969e+00
3.022014749999999594e+02,1.006652474403381348e+00
3.022064699999999675e+02,-3.240295171737670898e+00
3.022114639999999781e+02,-7.123365998268127441e-01
3.022164579999999887e+02,3.391396284103393555e+00
3.022214529999999968e+02,-9.816056489944458008e-01
3.022264470000000074e+02,-5.158802509307861328e+00
3.022314419999999586e+02,6.037748456001281738e-01
3.022364359999999692e+02,2.656804323196411133e+00
3.022414379999999596e+02,-1.933253765106201172e+00
3.022464239999999904e+02,-3.086452484130859375e+00
3.022514189999999985e+02,1.620860099792480469e+00
3.022564130000000091e+02,-1.794776022434234619e-01
3.022614079999999603e+02,-3.427520513534545898e+00
3.022664029999999684e+02,-4.928680956363677979e-01
3.022714449999999715e+02,9.493978023529052734e-01
3.022763939999999820e+02,-1.953151702880859375e+00
3.022813859999999977e+02,-2.124753952026367188e+00
3.022863810000000058e+02,1.566161066293716431e-01
3.022913739999999621e+02,-1.337684988975524902e-01
3.022963699999999676e+02,-1.071897149085998535e+00
3.023013629999999807e+02,1.205199807882308960e-01
3.023063579999999888e+02,-3.829310648143291473e-03
3.023113519999999994e+02,-2.769834280014038086e+00
3.023163460000000100e+02,-3.893538415431976318e-01
3.023213399999999638e+02,1.787044405937194824e+00
3.023263359999999693e+02,-1.403731942176818848e+00
3.023313299999999799e+02,-4.556924343109130859e+00
3.023363239999999905e+02,4.638186842203140259e-02
3.023413189999999986e+02,1.164996385574340820e+00
3.023463130000000092e+02,-2.599518537521362305e+00
3.023513069999999630e+02,-9.399367570877075195e-01
3.023563009999999736e+02,1.635733366012573242e+00
3.023613379999999893e+02,-1.615569829940795898e+00
3.023662869999999998e+02,-3.369546890258789062e+00
3.023712869999999953e+02,2.032182693481445312e+00
3.023762790000000109e+02,1.621168613433837891e+00
3.023812739999999621e+02,-4.291824340820312500e+00
3.023862679999999727e+02,-2.524390935897827148e+00
3.023912629999999808e+02,3.224270343780517578e+00
3.023962579999999889e+02,-1.223298549652099609e+00
3.024012510000000020e+02,-4.830503940582275391e+00
3.024062829999999735e+02,9.454320073127746582e-01
3.024112399999999639e+02,2.019309759140014648e+00
3.024162339999999745e+02,-5.086802482604980469e+00
3.024212289999999825e+02,-3.790998220443725586e+00
3.024262229999999931e+02,3.594439029693603516e+00
3.024312189999999987e+02,8.037259578704833984e-01
3.024362120000000118e+02,-5.290498256683349609e+00
3.024412110000000098e+02,-1.844340205192565918e+00
3.024462009999999736e+02,3.163482666015625000e+00
3.024511959999999817e+02,4.171771705150604248e-01
3.024561919999999873e+02,-2.960421562194824219e+00
3.024611840000000029e+02,-1.071809053421020508e+00
3.024661780000000135e+02,1.231790065765380859e+00
3.024711729999999648e+02,-6.967478394508361816e-01
3.024761679999999728e+02,-2.777477741241455078e+00
3.024811629999999809e+02,-1.869572162628173828e+00
3.024861559999999940e+02,1.922750473022460938e+00
3.024911510000000021e+02,-8.547644615173339844e-01
3.024961700000000064e+02,-3.933109998703002930e+00
3.025011389999999665e+02,-1.431943774223327637e+00
3.025061339999999745e+02,2.965129613876342773e+00
3.025111289999999826e+02,-2.345860451459884644e-01
3.025161219999999958e+02,-5.183804035186767578e+00
3.025211180000000013e+02,-9.093884825706481934e-01
3.025261150000000043e+02,3.385596036911010742e+00
3.025311069999999631e+02,-1.586678743362426758e+00
3.025361009999999737e+02,-5.291297435760498047e+00
3.025411009999999692e+02,5.760903954505920410e-01
3.025460889999999949e+02,2.512567043304443359e+00
3.025510850000000005e+02,-2.963350296020507812e+00
3.025560780000000136e+02,-3.984037637710571289e+00
3.025610729999999648e+02,1.382586479187011719e+00
3.025660659999999780e+02,4.433135986328125000e-01
3.025710619999999835e+02,-3.074520826339721680e+00
3.025760549999999967e+02,-2.274680614471435547e+00
3.025810510000000022e+02,-3.164675831794738770e-01
3.025860729999999990e+02,1.766189038753509521e-01
3.025910389999999666e+02,-1.192678213119506836e-01
3.025960319999999797e+02,-2.256855487823486328e+00
3.026010279999999852e+02,-2.706624269485473633e+00
3.026060209999999984e+02,1.257137894630432129e+00
3.026110170000000039e+02,2.718623876571655273e+00
3.026160160000000019e+02,-3.245757818222045898e+00
3.026210100000000125e+02,-3.055526018142700195e+00
3.026260080000000130e+02,2.328488588333129883e+00
3.026309929999999895e+02,2.857756912708282471e-01
3.026359879999999976e+02,-5.143618583679199219e+00
3.026409820000000082e+02,-2.463654987514019012e-02
3.026459800000000087e+02,1.828141093254089355e+00
3.026509729999999649e+02,-3.352105140686035156e+00
3.026559679999999730e+02,-3.786167860031127930e+00
3.026609629999999811e+02,1.877579092979431152e+00
3.026660149999999589e+02,1.404683470726013184e+00
3.026710009999999897e+02,-3.466412067413330078e+00
3.026760170000000016e+02,-2.941874027252197266e+00
3.026809809999999743e+02,4.977571964263916016e-01
3.026859729999999900e+02,6.879863142967224121e-01
3.026909609999999589e+02,-1.286582231521606445e+00
3.026959569999999644e+02,-3.367510557174682617e+00
3.027009469999999851e+02,-9.140400290489196777e-01
3.027059380000000033e+02,2.101644039154052734e+00
3.027109279999999671e+02,-1.306897878646850586e+00
3.027159189999999853e+02,-2.835999488830566406e+00
3.027209100000000035e+02,6.411564946174621582e-01
3.027259019999999623e+02,1.754198312759399414e+00
3.027308969999999704e+02,-3.183234691619873047e+00
3.027358879999999886e+02,-3.284905672073364258e+00
3.027408819999999992e+02,2.288301944732666016e+00
3.027458739999999580e+02,-8.513972163200378418e-01
3.027508639999999787e+02,-3.607476234436035156e+00
3.027558569999999918e+02,7.111473083496093750e-01
3.027608490000000074e+02,7.191190719604492188e-01
3.027658879999999613e+02,-2.881362915039062500e+00
3.027708649999999579e+02,-1.235977292060852051e+00
3.027758339999999748e+02,1.084239244461059570e+00
3.027808259999999905e+02,-1.277688980102539062e+00
3.027858219999999960e+02,-1.751255869865417480e+00
3.027908140000000117e+02,-1.766690015792846680e-01
3.027958079999999654e+02,-1.131664276123046875e+00
3.028008029999999735e+02,-2.432464838027954102e+00
3.028057969999999841e+02,1.464247226715087891e+00
3.028107939999999871e+02,3.161883056163787842e-01
3.028157870000000003e+02,-3.187272071838378906e+00
3.028207800000000134e+02,-1.982394099235534668e+00
3.028257749999999646e+02,1.080250263214111328e+00
3.028307689999999752e+02,-8.607379198074340820e-01
3.028357629999999858e+02,-5.075154900550842285e-01
3.028407579999999939e+02,-1.718668937683105469e+00
3.028457520000000045e+02,-1.904043793678283691e+00
3.028507490000000075e+02,6.664363741874694824e-01
3.028557700000000068e+02,1.922455668449401855e+00
3.028607440000000111e+02,-2.351897239685058594e+00
3.028657460000000015e+02,-1.583602309226989746e+00
3.028707239999999956e+02,3.070496797561645508e+00
3.028757190000000037e+02,-3.371289372444152832e-01
3.028807130000000143e+02,-3.267528057098388672e+00
3.028857089999999630e+02,-4.567636922001838684e-02
3.028907019999999761e+02,1.916764497756958008e+00
3.028956959999999867e+02,-8.408631682395935059e-01
3.029006899999999973e+02,-2.519821166992187500e+00
3.029056850000000054e+02,2.922037839889526367e-01
3.029106789999999592e+02,9.118200540542602539e-01
3.029156729999999698e+02,-3.426174223423004150e-01
